method,scene,scale,reflectance,spectral,spatial,synthesis,ha_metric,om_metric,im_metric
bicubic,45,2,0.002101909602060914,0.4880876839160919,0.0,0.008219529874622822,0.14978545904159546,0.14601826667785645,0.7041962742805481
lanczos,45,2,0.0020707028452306986,0.47524845600128174,0.0,0.00824722833931446,0.14888043701648712,0.13810837268829346,0.7130112051963806
esrgan,45,2,0.018247883766889572,6.71883487701416,0.019999999552965164,0.014102062210440636,0.5721790790557861,0.20501446723937988,0.22280645370483398
sen2sr,45,2,0.0047583915293216705,1.3440667390823364,0.0,0.009669648483395576,0.22255520522594452,0.13329188525676727,0.6441529393196106
bicubic,46,2,0.003752500982955098,0.7822848558425903,0.0,0.008506025187671185,0.17061340808868408,0.39104676246643066,0.43833982944488525
lanczos,46,2,0.0036457031965255737,0.7605785727500916,0.0,0.008614027872681618,0.17822536826133728,0.37571966648101807,0.44605496525764465
esrgan,46,2,0.01581152155995369,4.351757049560547,0.019999999552965164,0.017148364335298538,0.7528494000434875,0.10977184027433395,0.1373787522315979
sen2sr,46,2,0.010169617831707,1.8919068574905396,0.0,0.013238484971225262,0.3963102102279663,0.23464135825634003,0.36904841661453247
bicubic,47,2,0.0033728675916790962,0.9404265880584717,0.0,0.007167349103838205,0.16200536489486694,0.4923784136772156,0.3456161916255951
lanczos,47,2,0.0032801113557070494,0.916845440864563,0.0,0.0072895619086921215,0.16519729793071747,0.4822205901145935,0.35258209705352783
esrgan,47,2,0.01797478459775448,5.3734211921691895,0.019999999552965164,0.015916766598820686,0.7263655662536621,0.15349635481834412,0.12013810873031616
sen2sr,47,2,0.00757378526031971,2.3776402473449707,0.0,0.010644319467246532,0.2903657555580139,0.3752947151660919,0.33433955907821655
bicubic,48,2,0.0035325195640325546,0.8550756573677063,0.0,0.008275354281067848,0.16451498866081238,0.6413628458976746,0.19412218034267426
lanczos,48,2,0.0034048140514642,0.8198581337928772,0.0,0.008425159379839897,0.17961947619915009,0.6059092283248901,0.21447131037712097
esrgan,48,2,0.015209401957690716,4.045342445373535,0.02828427031636238,0.015712430700659752,0.7560140490531921,0.14821544289588928,0.09577053040266037
sen2sr,48,2,0.009022640064358711,1.9763072729110718,0.0,0.012409307062625885,0.4282006025314331,0.38916394114494324,0.18263547122478485
bicubic,49,2,0.0018365563591942191,0.5262198448181152,0.0,0.013461657799780369,0.06974058598279953,0.08846645802259445,0.8417929410934448
lanczos,49,2,0.0018028049962595105,0.5040808916091919,0.0,0.013476201333105564,0.06875798106193542,0.08729595690965652,0.8439460396766663
